benchmark,mode,repeat,m,n,k,tile_n,stages,elapsed_ms,gflops,bytes_b_share,checksum
bench_software_dsmem_gemm,remote,5,4096,128,4096,128,1,2.291456,1874.3399,4096,9.000000
bench_software_dsmem_gemm,remote,6,4096,128,4096,128,1,2.290688,1874.9682,4096,9.000000
bench_software_dsmem_gemm,remote,7,4096,128,4096,128,1,2.291072,1874.6541,4096,9.000000
bench_software_dsmem_gemm,remote,8,4096,128,4096,128,1,2.291392,1874.3921,4096,9.000000
bench_software_dsmem_gemm,remote,9,4096,128,4096,128,1,2.291232,1874.5230,4096,9.000000
bench_software_dsmem_gemm,local,0,4096,128,4096,128,2,0.965888,4446.6514,4096,9.000000
bench_software_dsmem_gemm,local,1,4096,128,4096,128,2,0.961888,4465.1427,4096,9.000000
bench_software_dsmem_gemm,local,2,4096,128,4096,128,2,0.959200,4477.6555,4096,9.000000
bench_software_dsmem_gemm,local,3,4096,128,4096,128,2,0.963424,4458.0239,4096,9.000000
bench_software_dsmem_gemm,local,4,4096,128,4096,128,2,0.962080,4464.2517,4096,9.000000
bench_software_dsmem_gemm,local,5,4096,128,4096,128,2,0.957472,4485.7366,4096,9.000000
bench_software_dsmem_gemm,local,6,4096,128,4096,128,2,0.962432,4462.6188,4096,9.000000
bench_software_dsmem_gemm,local,7,4096,128,4096,128,2,0.962016,4464.5488,4096,9.000000
bench_software_dsmem_gemm,local,8,4096,128,4096,128,2,0.958304,4481.8422,4096,9.000000
bench_software_dsmem_gemm,local,9,4096,128,4096,128,2,0.960672,4470.7946,4096,9.000000
bench_software_dsmem_gemm,remote,0,4096,128,4096,128,2,2.207232,1945.8613,4096,9.000000
bench_software_dsmem_gemm,remote,1,4096,128,4096,128,2,2.208928,1944.3672,4096,9.000000
bench_software_dsmem_gemm,remote,2,4096,128,4096,128,2,2.204992,1947.8380,4096,9.000000
bench_software_dsmem_gemm,remote,3,4096,128,4096,128,2,2.205696,1947.2162,4096,9.000000
bench_software_dsmem_gemm,remote,4,4096,128,4096,128,2,2.204992,1947.8380,4096,9.000000
bench_software_dsmem_gemm,remote,5,4096,128,4096,128,2,2.205568,1947.3293,4096,9.000000
bench_software_dsmem_gemm,remote,6,4096,128,4096,128,2,2.205120,1947.7249,4096,9.000000
bench_software_dsmem_gemm,remote,7,4096,128,4096,128,2,2.207328,1945.7766,4096,9.000000
bench_software_dsmem_gemm,remote,8,4096,128,4096,128,2,2.204992,1947.8380,4096,9.000000
bench_software_dsmem_gemm,remote,9,4096,128,4096,128,2,2.205920,1947.0186,4096,9.000000
bench_software_dsmem_gemm,local,0,4096,128,4096,128,4,0.963168,4459.2088,4096,9.000000
bench_software_dsmem_gemm,local,1,4096,128,4096,128,4,0.965408,4448.8622,4096,9.000000
bench_software_dsmem_gemm,local,2,4096,128,4096,128,4,0.966720,4442.8246,4096,9.000000
bench_software_dsmem_gemm,local,3,4096,128,4096,128,4,0.964384,4453.5861,4096,9.000000
bench_software_dsmem_gemm,local,4,4096,128,4096,128,4,0.960704,4470.6457,4096,9.000000
bench_software_dsmem_gemm,local,5,4096,128,4096,128,4,0.966496,4443.8542,4096,9.000000
bench_software_dsmem_gemm,local,6,4096,128,4096,128,4,0.963424,4458.0239,4096,9.000000
bench_software_dsmem_gemm,local,7,4096,128,4096,128,4,0.960896,4469.7524,4096,9.000000
bench_software_dsmem_gemm,local,8,4096,128,4096,128,4,0.963968,4455.5083,4096,9.000000
bench_software_dsmem_gemm,local,9,4096,128,4096,128,4,0.964192,4454.4732,4096,9.000000
bench_software_dsmem_gemm,remote,0,4096,128,4096,128,4,2.199424,1952.7691,4096,9.000000
bench_software_dsmem_gemm,remote,1,4096,128,4096,128,4,2.198400,1953.6787,4096,9.000000
bench_software_dsmem_gemm,remote,2,4096,128,4096,128,4,2.197536,1954.4468,4096,9.000000
bench_software_dsmem_gemm,remote,3,4096,128,4096,128,4,2.196224,1955.6144,4096,9.000000
