variant,schedule,ab_stages,m,n,k,avg_ms,tflops,iterations,repeat,returncode,log,command
sw_stage7,sw_pipeline,7,8192,8192,256,0.080911999,424.655661698,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw7_m8192_n8192_k256_r1.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,256 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage7,sw_pipeline,7,8192,8192,256,0.080716801,425.682609747,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw7_m8192_n8192_k256_r2.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,256 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,256,0.066198721,519.039308981,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/ws6_m8192_n8192_k256_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,256 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,256,0.066251521,518.625652544,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/ws6_m8192_n8192_k256_r1.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,256 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,256,0.066202559,519.009214183,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/ws6_m8192_n8192_k256_r2.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,256 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage6,sw_pipeline,6,8192,8192,512,0.099132481,693.208485305,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw6_m8192_n8192_k512_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline_stage6.py --mnk 8192,8192,512 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage6,sw_pipeline,6,8192,8192,512,0.099126081,693.253235871,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw6_m8192_n8192_k512_r1.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline_stage6.py --mnk 8192,8192,512 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage6,sw_pipeline,6,8192,8192,512,0.099116478,693.320405910,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw6_m8192_n8192_k512_r2.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline_stage6.py --mnk 8192,8192,512 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage7,sw_pipeline,7,8192,8192,512,0.097497921,704.830175231,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw7_m8192_n8192_k512_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,512 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage7,sw_pipeline,7,8192,8192,512,0.097456322,705.131032300,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw7_m8192_n8192_k512_r1.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,512 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage7,sw_pipeline,7,8192,8192,512,0.097452164,705.161118333,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw7_m8192_n8192_k512_r2.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,512 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,512,0.083278084,825.180811076,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/ws6_m8192_n8192_k512_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,512 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,512,0.083203516,825.920346090,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/ws6_m8192_n8192_k512_r1.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,512 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,512,0.083296642,824.996960689,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/ws6_m8192_n8192_k512_r2.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,512 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage6,sw_pipeline,6,8192,8192,1024,0.130166721,1055.868597234,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw6_m8192_n8192_k1024_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline_stage6.py --mnk 8192,8192,1024 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage6,sw_pipeline,6,8192,8192,1024,0.130155516,1055.959501706,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw6_m8192_n8192_k1024_r1.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline_stage6.py --mnk 8192,8192,1024 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage6,sw_pipeline,6,8192,8192,1024,0.130175037,1055.801144628,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw6_m8192_n8192_k1024_r2.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline_stage6.py --mnk 8192,8192,1024 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage7,sw_pipeline,7,8192,8192,1024,0.129616003,1060.354819253,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw7_m8192_n8192_k1024_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,1024 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage7,sw_pipeline,7,8192,8192,1024,0.129541121,1060.967767691,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw7_m8192_n8192_k1024_r1.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,1024 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage7,sw_pipeline,7,8192,8192,1024,0.129310722,1062.858137153,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw7_m8192_n8192_k1024_r2.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,1024 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,1024,0.115363197,1191.358740542,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/ws6_m8192_n8192_k1024_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,1024 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,1024,0.115431681,1190.651930763,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/ws6_m8192_n8192_k1024_r1.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,1024 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,1024,0.115493116,1190.018572373,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/ws6_m8192_n8192_k1024_r2.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,1024 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage6,sw_pipeline,6,8192,8192,2048,0.193397751,1421.308705657,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw6_m8192_n8192_k2048_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline_stage6.py --mnk 8192,8192,2048 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage6,sw_pipeline,6,8192,8192,2048,0.193262711,1422.301830143,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw6_m8192_n8192_k2048_r1.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline_stage6.py --mnk 8192,8192,2048 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage6,sw_pipeline,6,8192,8192,2048,0.193382397,1421.421554586,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw6_m8192_n8192_k2048_r2.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline_stage6.py --mnk 8192,8192,2048 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage7,sw_pipeline,7,8192,8192,2048,0.192047367,1431.302657780,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw7_m8192_n8192_k2048_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,2048 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage7,sw_pipeline,7,8192,8192,2048,0.192007351,1431.600954987,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw7_m8192_n8192_k2048_r1.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,2048 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage7,sw_pipeline,7,8192,8192,2048,0.192036152,1431.386248081,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw7_m8192_n8192_k2048_r2.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,2048 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,2048,0.178266888,1541.945958359,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/ws6_m8192_n8192_k2048_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,2048 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
