variant,m,n,k,avg_ms,tflops,iterations,repeat,returncode,log,command
sw_pipeline,8192,8192,1024,475.456601562,0.289067295,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k1024_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,1024 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,1024,472.726523438,0.290736709,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k1024_r1.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,1024 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,1024,474.627890625,0.289572012,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k1024_r2.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,1024 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,1024,780.044921875,0.176193639,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/ws_m8192_n8192_k1024_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,1024 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,1024,781.961328125,0.175761829,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/ws_m8192_n8192_k1024_r1.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,1024 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,1024,779.624453125,0.176288664,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/ws_m8192_n8192_k1024_r2.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,1024 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,2048,473.396523437,0.580650455,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k2048_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,2048 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,2048,473.446992187,0.580588559,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k2048_r1.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,2048 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,2048,473.696445312,0.580282815,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k2048_r2.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,2048 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,2048,780.304921875,0.352269862,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/ws_m8192_n8192_k2048_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,2048 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,2048,781.375703125,0.351787118,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/ws_m8192_n8192_k2048_r1.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,2048 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,2048,779.855000000,0.352473097,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/ws_m8192_n8192_k2048_r2.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,2048 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,4096,480.031562500,1.145249306,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k4096_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,4096 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,4096,472.479296875,1.163555351,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k4096_r1.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,4096 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,4096,476.016601562,1.154908909,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k4096_r2.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,4096 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,4096,781.658593750,0.703319606,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/ws_m8192_n8192_k4096_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,4096 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,4096,778.795703125,0.705905042,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/ws_m8192_n8192_k4096_r1.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,4096 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,4096,780.833906250,0.704062425,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/ws_m8192_n8192_k4096_r2.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,4096 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,8192,477.850117188,2.300955024,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k8192_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,8192 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,8192,473.440585937,2.322385660,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k8192_r1.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,8192 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,8192,472.873632812,2.325170091,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k8192_r2.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,8192 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,8192,783.204375000,1.403862980,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/ws_m8192_n8192_k8192_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,8192 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,8192,781.611171875,1.406724555,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/ws_m8192_n8192_k8192_r1.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,8192 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,8192,783.024609375,1.404185277,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/ws_m8192_n8192_k8192_r2.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,8192 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
