benchmark,dtype,mode,streams,repeat,loop_iters,unroll,total_mma,cycles,cycles_per_mma,sink_lo,sink_hi
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,0,4096,1,32768,577649,17.62844849,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,1,4096,1,32768,577588,17.62658691,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,2,4096,1,32768,577710,17.63031006,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,3,4096,1,32768,577588,17.62658691,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,4,4096,1,32768,577588,17.62658691,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,5,4096,1,32768,577649,17.62844849,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,6,4096,1,32768,577588,17.62658691,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,7,4096,1,32768,577649,17.62844849,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,8,4096,1,32768,577588,17.62658691,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,9,4096,1,32768,577710,17.63031006,0,0
bench_empty,none,empty,0,0,4096,2,0,286780,0.00000000,11271998016532867392,15395062794224256533
bench_empty,none,empty,0,1,4096,2,0,286841,0.00000000,11271998016532867392,15395062794224256533
bench_empty,none,empty,0,2,4096,2,0,286780,0.00000000,11271998016532867392,15395062794224256533
bench_empty,none,empty,0,3,4096,2,0,286780,0.00000000,11271998016532867392,15395062794224256533
bench_empty,none,empty,0,4,4096,2,0,286780,0.00000000,11271998016532867392,15395062794224256533
bench_empty,none,empty,0,5,4096,2,0,286902,0.00000000,11271998016532867392,15395062794224256533
bench_empty,none,empty,0,6,4096,2,0,286780,0.00000000,11271998016532867392,15395062794224256533
bench_empty,none,empty,0,7,4096,2,0,286780,0.00000000,11271998016532867392,15395062794224256533
bench_empty,none,empty,0,8,4096,2,0,286841,0.00000000,11271998016532867392,15395062794224256533
bench_empty,none,empty,0,9,4096,2,0,286780,0.00000000,11271998016532867392,15395062794224256533
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,0,4096,2,8192,253986,31.00415039,126812160,126812160
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,1,4096,2,8192,253986,31.00415039,126812160,126812160
